5:6:18.492787 - debugger.py, 1 - Started
5:6:19.233555 - Interface_Object.py, 346 - Button exit press check
5:6:19.233555 - Interface_Object.py, 347 - Button exit intersection check failed
5:6:19.233555 - Interface_Object.py, 348 - Button start_typing intersection check
5:6:19.234557 - Interface_Object.py, 349 - Button start_typing intersection check failed
5:6:19.234557 - Interface_Object.py, 350 - Button start_typing press check
5:6:19.234557 - Interface_Object.py, 351 - Button start_typing intersection check failed
5:6:19.234557 - Interface_Object.py, 352 - Button stop_typing intersection check
5:6:19.234557 - Interface_Object.py, 353 - Button stop_typing intersection check failed
5:6:19.234557 - Interface_Object.py, 354 - Button stop_typing press check
5:6:19.234557 - Interface_Object.py, 355 - Button stop_typing intersection check failed
5:6:19.234557 - Interface.py, 356 - Rendering
5:6:19.234557 - Interface.py, 357 - Rendering sprite
5:6:19.238556 - Interface.py, 358 - Rendering sprite
5:6:19.243557 - Interface.py, 359 - Rendering sprite
5:6:19.247559 - Interface_Object.py, 360 - Button exit rendering
5:6:19.248558 - Interface_Object.py, 361 - Button start_typing rendering
5:6:19.248558 - Interface_Object.py, 362 - Button stop_typing rendering
5:6:19.249558 - Interface_Object.py, 363 - Textbar cam_id_textbar rendering
5:6:19.249558 - Interface.py, 364 - Main cycle iteration
5:6:19.266350 - Interface_Object.py, 365 - Button exit intersection check
5:6:19.266350 - Interface_Object.py, 366 - Button exit intersection check failed
5:6:19.266350 - Interface_Object.py, 367 - Button exit press check
5:6:19.266350 - Interface_Object.py, 368 - Button exit intersection check failed
5:6:19.266350 - Interface_Object.py, 369 - Button start_typing intersection check
5:6:19.266350 - Interface_Object.py, 370 - Button start_typing intersection check failed
5:6:19.266350 - Interface_Object.py, 371 - Button start_typing press check
5:6:19.266350 - Interface_Object.py, 372 - Button start_typing intersection check failed
5:6:19.266350 - Interface_Object.py, 373 - Button stop_typing intersection check
5:6:19.266350 - Interface_Object.py, 374 - Button stop_typing intersection check failed
5:6:19.266350 - Interface_Object.py, 375 - Button stop_typing press check
5:6:19.266350 - Interface_Object.py, 376 - Button stop_typing intersection check failed
5:6:19.266350 - Interface.py, 377 - Rendering
